Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education_Level,EnvironmentSatisfaction_Level,JobInvolvement_Level,JobSatisfaction_Level,PerformanceRating_Level,RelationshipSatisfaction_Level,WorkLifeBalance_Level,EmployeeID,RecordCreationDate,LastUpdatedDate,TenurePerCompany,IncomePerYearOfService
35,No,2,1232,2,16,3,2,1,406,3,1,96,3,3,7,2,1,8020,5100,0,0,0,15,3,3,80,2,12,3,2,11,9,6,9,Bachelor,High,High,Medium,Excellent,High,Good,2ac39386-8b65-4428-80d3-4399f60a91cb,2025-04-23 17:27:03,2025-04-23 17:27:03,12.0,668.3333333333334
36,No,1,566,1,18,4,1,1,407,3,1,81,4,1,2,4,1,3688,7122,4,0,0,18,3,4,80,2,4,2,3,1,0,0,0,Master,High,Very High,Very High,Excellent,Very High,Better,45a0871f-ce22-4d13-bc6c-29ce63915a5d,2025-04-23 17:27:03,2025-04-23 17:27:03,0.8,1844.0
51,No,2,1302,1,2,3,3,1,408,4,1,84,1,2,4,2,0,5482,16321,5,0,0,18,3,4,80,1,13,3,3,4,1,1,2,Bachelor,Very High,Low,Medium,Excellent,Very High,Better,433aaefb-ac55-4580-bb4c-9bb3271d724f,2025-04-23 17:27:03,2025-04-23 17:27:03,2.1666666666666665,1096.4
41,No,2,334,2,2,4,1,1,410,4,1,88,3,4,3,2,2,16015,15896,1,0,0,19,3,2,80,0,22,2,3,22,10,0,4,Master,Very High,High,Medium,Excellent,Medium,Better,7ef1dfdf-dc25-4eeb-a8d2-abe852ff3b26,2025-04-23 17:27:03,2025-04-23 17:27:03,11.0,696.304347826087
18,No,2,812,2,10,3,3,1,411,4,0,69,2,1,8,3,2,1200,9724,1,0,0,12,3,1,80,0,0,2,3,0,0,0,0,Bachelor,Very High,Medium,High,Excellent,Low,Better,ef5c9932-632d-497c-b755-70aa14e401b7,2025-04-23 17:27:03,2025-04-23 17:27:03,0.0,1200.0
28,No,2,1476,1,16,2,3,1,412,2,1,68,4,2,0,1,2,5661,4824,0,0,0,19,3,3,80,0,9,2,3,8,3,0,7,College,Medium,Very High,Low,Excellent,High,Better,bc2b8bb2-ee59-45e6-90f8-851e59816ed3,2025-04-23 17:27:03,2025-04-23 17:27:03,9.0,629.0
31,No,2,218,2,7,3,5,1,416,2,1,100,4,2,7,4,1,6929,12241,4,0,0,11,3,2,80,1,10,3,2,8,7,7,7,Bachelor,Medium,Very High,Very High,Excellent,Medium,Good,9bea861f-e791-431f-99c0-5e2cf52c5437,2025-04-23 17:27:03,2025-04-23 17:27:03,2.0,769.8888888888889
39,No,2,1132,1,1,3,3,1,417,3,1,48,4,3,0,4,0,9613,10942,0,0,0,17,3,1,80,3,19,5,2,18,10,3,7,Bachelor,High,Very High,Very High,Excellent,Low,Good,4d36b08d-d73f-41e3-98d7-f777bacac347,2025-04-23 17:27:03,2025-04-23 17:27:03,19.0,505.94736842105266
36,No,0,1105,1,24,4,1,1,419,2,0,47,3,2,2,2,1,5674,6927,7,0,0,15,3,3,80,1,11,3,3,9,8,0,8,Master,Medium,High,Medium,Excellent,High,Better,4cd443df-15db-484c-b1a3-1081eff5b697,2025-04-23 17:27:03,2025-04-23 17:27:03,1.375,567.4
32,No,2,906,2,7,3,1,1,420,4,1,91,2,2,7,3,1,5484,16985,1,0,0,14,3,3,80,1,13,3,2,13,8,4,8,Bachelor,Very High,Medium,High,Excellent,High,Good,9ad1a00b-aaf8-4fbd-9d05-e62028870591,2025-04-23 17:27:03,2025-04-23 17:27:03,6.5,391.7142857142857
38,No,2,849,1,25,2,1,1,421,1,0,81,2,3,5,2,1,12061,26707,3,0,0,17,3,3,80,1,19,2,3,10,8,0,1,College,Low,Medium,Medium,Excellent,High,Better,4520721f-4410-43a5-8937-e68297fbed6c,2025-04-23 17:27:03,2025-04-23 17:27:03,4.75,1096.4545454545455
58,No,0,390,1,1,4,1,1,422,4,1,32,1,2,0,3,0,5660,17056,2,0,1,13,3,4,80,1,12,2,3,5,3,1,2,Master,Very High,Low,High,Excellent,Very High,Better,cba2ffa7-74b0-48d2-b099-d1744b97b5f2,2025-04-23 17:27:03,2025-04-23 17:27:03,4.0,943.3333333333334
31,No,2,691,1,5,4,5,1,423,3,1,86,3,1,6,4,1,4821,10077,0,0,1,12,3,3,80,1,6,4,3,5,2,0,3,Master,High,High,Very High,Excellent,High,Better,db657ba5-9289-4beb-9c34-d8bc1f125130,2025-04-23 17:27:03,2025-04-23 17:27:03,6.0,803.5
31,No,2,106,0,2,3,0,1,424,1,1,62,2,2,1,1,1,6410,17822,3,0,0,12,3,4,80,0,9,1,3,2,2,1,0,Bachelor,Low,Medium,Low,Excellent,Very High,Better,1615011c-0ba3-4258-9262-a15de930df83,2025-04-23 17:27:03,2025-04-23 17:27:03,2.25,2136.6666666666665
45,No,1,1249,1,7,3,1,1,425,1,1,97,3,3,2,1,0,5210,20308,1,0,0,18,3,1,80,1,24,2,3,24,9,9,11,Bachelor,Low,High,Low,Excellent,Low,Better,b6c63559-2fd9-40bb-901d-d09cd79681c9,2025-04-23 17:27:03,2025-04-23 17:27:03,12.0,208.4
31,No,2,192,1,2,4,1,1,426,3,1,32,3,1,6,4,0,2695,7747,0,0,1,18,3,2,80,1,3,2,1,2,2,2,2,Master,High,High,Very High,Excellent,Medium,Bad,9e17ebab-6ed0-48c7-922b-15f9ec37fa13,2025-04-23 17:27:03,2025-04-23 17:27:03,3.0,898.3333333333334
33,No,1,553,1,5,4,1,1,428,4,0,74,3,3,3,2,1,11878,23364,6,0,0,11,3,2,80,2,12,2,3,10,6,8,8,Master,Very High,High,Medium,Excellent,Medium,Better,e90bb4d8-ff45-40e7-be13-677970282307,2025-04-23 17:27:03,2025-04-23 17:27:03,1.7142857142857142,1079.8181818181818
39,No,2,117,1,10,1,3,1,429,3,1,99,3,4,3,1,1,17068,5355,1,0,1,14,3,4,80,0,21,3,3,21,9,11,10,Below College,High,High,Low,Excellent,Very High,Better,2b062bb8-eb3e-415b-a584-b3b3df17896c,2025-04-23 17:27:03,2025-04-23 17:27:03,10.5,775.8181818181819
43,No,1,185,1,10,4,1,1,430,3,0,33,3,1,2,4,2,2455,10675,0,0,0,19,3,1,80,0,9,5,3,8,7,1,7,Master,High,High,Very High,Excellent,Low,Better,f085900f-c9d4-4790-b0c1-6c8c47920b46,2025-04-23 17:27:03,2025-04-23 17:27:03,9.0,272.77777777777777
49,No,2,1091,1,1,2,5,1,431,3,0,90,2,4,0,3,2,13964,17810,7,0,1,12,3,4,80,0,25,2,3,7,1,0,7,College,High,Medium,High,Excellent,Very High,Better,fc533b7a-4aab-4a26-9ab9-fbb2a9926a3c,2025-04-23 17:27:03,2025-04-23 17:27:03,3.125,1745.5
52,Yes,2,723,1,8,4,3,1,433,3,1,85,2,2,6,2,1,4941,17747,2,0,0,15,3,1,80,0,11,3,2,8,2,7,7,Master,High,Medium,Medium,Excellent,Low,Good,5e1c8396-13ac-4318-afb4-d88c5e4d1cb1,2025-04-23 17:27:03,2025-04-23 17:27:03,3.6666666666666665,549.0
27,No,2,1220,1,5,3,1,1,434,3,0,85,3,1,6,2,2,2478,20938,1,0,1,12,3,2,80,0,4,2,2,4,3,1,2,Bachelor,High,High,Medium,Excellent,Medium,Good,3017f1db-52f8-4f77-8301-cc95ec40c49e,2025-04-23 17:27:03,2025-04-23 17:27:03,2.0,495.6
32,No,2,588,2,8,2,5,1,436,3,0,65,2,2,7,2,1,5228,24624,1,0,1,11,3,4,80,0,13,2,3,13,12,11,9,College,High,Medium,Medium,Excellent,Very High,Better,ebd7c65f-6f22-4ac7-bbd9-7214640e345d,2025-04-23 17:27:03,2025-04-23 17:27:03,6.5,373.42857142857144
27,No,2,1377,2,2,3,1,1,437,4,1,74,3,2,7,3,2,4478,5242,1,0,1,11,3,1,80,0,5,3,3,5,4,0,4,Bachelor,Very High,High,High,Excellent,Low,Better,ae4bed9c-69fd-4c11-a69e-51bdc029e8f7,2025-04-23 17:27:03,2025-04-23 17:27:03,2.5,746.3333333333334
31,No,2,691,2,7,3,2,1,438,4,1,73,3,2,7,4,0,7547,7143,4,0,0,12,3,4,80,3,13,3,3,7,7,1,7,Bachelor,Very High,High,Very High,Excellent,Very High,Better,d17e5834-d658-4c63-8918-3e67affbb47a,2025-04-23 17:27:03,2025-04-23 17:27:03,2.6,943.375
32,No,2,1018,1,2,4,3,1,439,1,0,74,4,2,6,4,2,5055,10557,7,0,0,16,3,3,80,0,10,0,2,7,7,0,7,Master,Low,Very High,Very High,Excellent,High,Good,986d5c04-6b29-44c2-baca-55a03290a364,2025-04-23 17:27:03,2025-04-23 17:27:03,1.25,631.875
28,Yes,2,1157,1,2,4,3,1,440,1,1,84,1,1,6,4,1,3464,24737,5,0,1,13,3,4,80,0,5,4,2,3,2,2,2,Master,Low,Low,Very High,Excellent,Very High,Good,7c2a6f0f-a99b-48ae-bb08-9bc6e2045bee,2025-04-23 17:27:03,2025-04-23 17:27:03,0.8333333333333334,866.0
30,No,2,1275,1,28,2,3,1,441,4,0,64,3,2,6,4,1,5775,11934,1,0,0,13,3,4,80,2,11,2,3,10,8,1,9,College,Very High,High,Very High,Excellent,Very High,Better,03927ee5-194b-4bd9-93ae-67224bfbc450,2025-04-23 17:27:03,2025-04-23 17:27:03,5.5,525.0
31,No,1,798,1,7,2,1,1,442,3,0,48,2,3,4,3,1,8943,14034,1,0,0,24,4,1,80,1,10,2,3,10,9,8,9,College,High,Medium,High,Outstanding,Low,Better,c462580a-097f-422d-b186-86190acece13,2025-04-23 17:27:03,2025-04-23 17:27:03,5.0,813.0
39,No,1,672,1,7,2,3,1,444,3,1,54,2,5,3,4,1,19272,21141,1,0,0,15,3,1,80,1,21,2,3,21,9,13,3,College,High,Medium,Very High,Excellent,Low,Better,7bd2d75c-2b5c-4f89-83e1-2c4731052143,2025-04-23 17:27:03,2025-04-23 17:27:03,10.5,876.0
39,Yes,2,1162,2,3,2,3,1,445,4,0,41,3,2,7,3,1,5238,17778,4,0,1,18,3,1,80,0,12,3,2,1,0,0,0,College,Very High,High,High,Excellent,Low,Good,3732c631-eb60-40b5-a488-c4ee961f90f0,2025-04-23 17:27:03,2025-04-23 17:27:03,2.4,2619.0
33,No,1,508,2,10,3,2,1,446,2,1,46,2,2,7,4,2,4682,4317,3,0,0,14,3,3,80,0,9,6,2,7,7,0,1,Bachelor,Medium,Medium,Very High,Excellent,High,Good,e17a45b1-ed32-41a7-94b4-ef57ca0638be,2025-04-23 17:27:03,2025-04-23 17:27:03,2.25,585.25
47,No,2,1482,1,5,5,1,1,447,4,1,42,3,5,5,3,1,18300,16375,4,0,0,11,3,2,80,1,21,2,3,3,2,1,1,Doctor,Very High,High,High,Excellent,Medium,Better,ba2a93bf-69b3-45aa-bc8d-31805731f629,2025-04-23 17:27:03,2025-04-23 17:27:03,4.2,4575.0
43,No,1,559,1,10,4,1,1,448,3,0,82,2,2,2,3,0,5257,6227,1,0,0,11,3,2,80,1,9,3,4,9,7,0,0,Master,High,Medium,High,Excellent,Medium,Best,53eb21ed-aec3-4e82-93df-adcb1955891f,2025-04-23 17:27:03,2025-04-23 17:27:03,4.5,525.7
27,No,0,210,2,1,1,2,1,449,3,1,73,3,2,7,2,1,6349,22107,0,0,1,13,3,4,80,1,6,0,3,5,4,1,4,Below College,High,High,Medium,Excellent,Very High,Better,4c0ef550-e3e3-4340-b7c5-efee47da98df,2025-04-23 17:27:03,2025-04-23 17:27:03,6.0,1058.1666666666667
54,No,1,928,1,20,4,1,1,450,4,0,31,3,2,6,3,2,4869,16885,3,0,0,12,3,4,80,0,20,4,2,4,3,0,3,Master,Very High,High,High,Excellent,Very High,Good,6e732e76-d2bb-4502-b98c-391db04486cf,2025-04-23 17:27:03,2025-04-23 17:27:03,5.0,973.8
43,No,2,1001,1,7,3,1,1,451,3,0,43,3,3,0,1,1,9985,9262,8,0,0,16,3,1,80,1,10,1,2,1,0,0,0,Bachelor,High,High,Low,Excellent,Low,Good,d7cfceac-0eb2-496e-b048-d4bca4e2d747,2025-04-23 17:27:03,2025-04-23 17:27:03,1.1111111111111112,4992.5
45,No,2,549,1,8,4,4,1,452,4,1,75,3,2,6,4,1,3697,9278,9,0,0,14,3,1,80,2,12,3,3,10,9,9,8,Master,Very High,High,Very High,Excellent,Low,Better,e8af71c3-f2eb-4544-94e2-a3e30b912984,2025-04-23 17:27:03,2025-04-23 17:27:03,1.2,336.09090909090907
40,No,2,1124,2,1,2,3,1,453,2,1,57,1,2,7,4,1,7457,13273,2,0,1,22,4,3,80,3,6,2,2,4,3,0,2,College,Medium,Low,Very High,Outstanding,High,Good,252204ba-e0ef-431e-9bf7-b2b89c1ae5c2,2025-04-23 17:27:03,2025-04-23 17:27:03,2.0,1491.4
29,Yes,2,318,1,8,4,4,1,454,2,1,77,1,1,2,1,1,2119,4759,1,0,1,11,3,4,80,0,7,4,2,7,7,0,7,Master,Medium,Low,Low,Excellent,Very High,Good,1c08a5f0-13cf-4c0d-8e3c-180d5a57eff5,2025-04-23 17:27:03,2025-04-23 17:27:03,3.5,264.875
29,No,2,738,1,9,5,4,1,455,2,1,30,2,1,2,4,2,3983,7621,0,0,0,17,3,3,80,0,4,2,3,3,2,2,2,Doctor,Medium,Medium,Very High,Excellent,High,Better,69ec7ecc-7090-42ed-961f-f3e7125a2151,2025-04-23 17:27:03,2025-04-23 17:27:03,4.0,995.75
30,No,2,570,2,5,3,2,1,456,4,0,30,2,2,7,3,0,6118,5431,1,0,0,13,3,3,80,3,10,2,3,10,9,1,2,Bachelor,Very High,Medium,High,Excellent,High,Better,30279661-6e2b-47b7-a7de-42092352a6fb,2025-04-23 17:27:03,2025-04-23 17:27:03,5.0,556.1818181818181
27,No,2,1130,2,8,4,2,1,458,2,0,56,3,2,7,2,1,6214,3415,1,0,0,18,3,1,80,1,8,3,3,8,7,0,7,Master,Medium,High,Medium,Excellent,Low,Better,24f58684-4d32-41b3-bfc4-45c9474b6f9c,2025-04-23 17:27:03,2025-04-23 17:27:03,4.0,690.4444444444445
37,No,2,1192,1,5,2,3,1,460,4,1,61,3,2,4,4,0,6347,23177,7,0,0,16,3,3,80,2,8,2,2,6,2,0,4,College,Very High,High,Very High,Excellent,High,Good,f41b6d1f-df43-4e0c-ac82-1fb00d56ba6e,2025-04-23 17:27:03,2025-04-23 17:27:03,1.0,906.7142857142857
38,No,2,343,1,15,2,1,1,461,3,1,92,2,3,5,4,0,11510,15682,0,0,1,14,3,2,80,1,12,3,3,11,10,2,9,College,High,Medium,Very High,Excellent,Medium,Better,1c139e46-b497-4bbd-98b8-e672c8defcf1,2025-04-23 17:27:03,2025-04-23 17:27:03,12.0,959.1666666666666
31,No,2,1232,1,7,4,3,1,462,3,0,39,3,3,4,4,2,7143,25713,1,0,1,14,3,3,80,0,11,2,2,11,9,4,10,Master,High,High,Very High,Excellent,High,Good,1825e67e-b1fd-42c0-a8c9-deccbc5ac1a2,2025-04-23 17:27:03,2025-04-23 17:27:03,5.5,595.25
29,No,2,144,2,10,1,2,1,463,4,0,39,2,2,7,2,0,8268,11866,1,0,1,14,3,1,80,2,7,2,3,7,7,1,7,Below College,Very High,Medium,Medium,Excellent,Low,Better,79895878-75ab-4e03-92fb-bb6d0e826c9c,2025-04-23 17:27:03,2025-04-23 17:27:03,3.5,1033.5
35,No,2,1296,1,5,4,5,1,464,3,1,62,3,3,4,2,2,8095,18264,0,0,0,13,3,4,80,0,17,5,3,16,6,0,13,Master,High,High,Medium,Excellent,Very High,Better,cd0641e6-2e53-47d3-a969-3f2d05a3d170,2025-04-23 17:27:03,2025-04-23 17:27:03,17.0,476.1764705882353
23,No,2,1309,1,26,1,1,1,465,3,1,83,3,1,6,4,0,2904,16092,1,0,0,12,3,3,80,2,4,2,2,4,2,0,2,Below College,High,High,Very High,Excellent,High,Good,5e2a213d-13af-4b5d-acf6-62787059f3c2,2025-04-23 17:27:03,2025-04-23 17:27:03,2.0,580.8
41,No,2,483,1,6,3,3,1,466,4,1,95,2,2,4,2,2,6032,10110,6,0,1,15,3,4,80,0,8,3,3,5,4,1,2,Bachelor,Very High,Medium,Medium,Excellent,Very High,Better,2ce06bf7-b760-411e-94f9-2eefeb0b9627,2025-04-23 17:27:03,2025-04-23 17:27:03,1.1428571428571428,1005.3333333333334
47,No,1,1309,2,4,1,3,1,467,2,1,99,3,2,8,3,2,2976,25751,3,0,0,19,3,1,80,0,5,3,3,0,0,0,0,Below College,Medium,High,High,Excellent,Low,Better,2ed17fbc-b303-4ddb-a03f-923fad25571d,2025-04-23 17:27:03,2025-04-23 17:27:03,1.25,2976.0
42,No,2,810,1,23,5,1,1,468,1,0,44,3,4,5,4,2,15992,15901,2,0,0,14,3,2,80,0,16,2,3,1,0,0,0,Doctor,Low,High,Very High,Excellent,Medium,Better,941f1a33-13de-4f5b-8fe5-668c4737b6d5,2025-04-23 17:27:03,2025-04-23 17:27:03,5.333333333333333,7996.0
29,No,0,746,2,2,3,1,1,469,4,1,61,3,2,7,3,1,4649,16928,1,0,0,14,3,1,80,1,4,3,2,4,3,0,2,Bachelor,Very High,High,High,Excellent,Low,Good,d121ec73-4e1e-43cf-9cc1-9a20c68e6c6f,2025-04-23 17:27:03,2025-04-23 17:27:03,2.0,929.8
42,No,2,544,0,2,1,5,1,470,3,1,52,3,1,1,3,0,2696,24017,0,0,1,11,3,3,80,1,4,5,3,3,2,1,0,Below College,High,High,High,Excellent,High,Better,e34236bc-7d2e-492a-a8ff-865e96c6bc84,2025-04-23 17:27:03,2025-04-23 17:27:03,4.0,674.0
32,No,2,1062,1,2,3,3,1,471,3,0,75,3,1,2,2,1,2370,3956,1,0,0,13,3,3,80,1,8,4,3,8,0,0,7,Bachelor,High,High,Medium,Excellent,High,Better,29c4e2db-f7a8-4d12-a4cf-a4d04b20a17a,2025-04-23 17:27:03,2025-04-23 17:27:03,4.0,263.3333333333333
48,No,2,530,2,29,1,3,1,473,1,0,91,3,3,3,3,1,12504,23978,3,0,0,21,4,2,80,1,15,3,1,0,0,0,0,Below College,Low,High,High,Outstanding,Medium,Bad,6fb7fca0-d4c1-42d7-9d97-5e3beb6c5448,2025-04-23 17:27:03,2025-04-23 17:27:03,3.75,12504.0
37,No,2,1319,1,6,3,3,1,474,3,1,51,4,2,6,1,0,5974,17001,4,0,1,13,3,1,80,2,13,2,3,7,7,6,7,Bachelor,High,Very High,Low,Excellent,Low,Better,b96ff3d7-4869-4cd6-9cd2-4bab15dd697e,2025-04-23 17:27:03,2025-04-23 17:27:03,2.6,746.75
30,No,0,641,2,25,2,5,1,475,4,0,85,3,2,7,3,1,4736,6069,7,0,1,12,3,2,80,1,4,2,4,2,2,2,2,College,Very High,High,High,Excellent,Medium,Best,b81f6476-3004-421a-9943-175732a65337,2025-04-23 17:27:03,2025-04-23 17:27:03,0.5,1578.6666666666667
26,No,2,933,2,1,3,1,1,476,3,1,57,3,2,7,3,1,5296,20156,1,0,0,17,3,2,80,1,8,3,3,8,7,7,7,Bachelor,High,High,High,Excellent,Medium,Better,24b1475c-de63-4467-8ff2-9f93820532f4,2025-04-23 17:27:03,2025-04-23 17:27:03,4.0,588.4444444444445
42,No,2,1332,1,2,4,4,1,477,1,1,98,2,2,0,4,2,6781,17078,3,0,0,23,4,2,80,0,14,6,3,1,0,0,0,Master,Low,Medium,Very High,Outstanding,Medium,Better,e57d9d67-f2eb-419a-a4fd-910830eb8f0a,2025-04-23 17:27:03,2025-04-23 17:27:03,3.5,3390.5
21,Yes,1,756,2,1,1,5,1,478,1,0,99,2,1,8,2,2,2174,9150,1,0,1,11,3,3,80,0,3,3,3,3,2,1,2,Below College,Low,Medium,Medium,Excellent,High,Better,b525a87a-c271-4f15-98c0-6e24bf065205,2025-04-23 17:27:03,2025-04-23 17:27:03,1.5,543.5
36,No,0,845,2,1,5,3,1,479,4,0,45,3,2,7,4,2,6653,15276,4,0,0,15,3,2,80,0,7,6,3,1,0,0,0,Doctor,Very High,High,Very High,Excellent,Medium,Better,8cbb9b98-2176-4cdb-85dd-aec3b8939b9c,2025-04-23 17:27:03,2025-04-23 17:27:03,1.4,3326.5
36,No,1,541,2,3,4,3,1,481,1,1,48,2,3,7,4,1,9699,7246,4,0,0,11,3,1,80,1,16,2,3,13,9,1,12,Master,Low,Medium,Very High,Excellent,Low,Better,0b00dcd1-8546-45cf-a1be-780d7a6b8b84,2025-04-23 17:27:03,2025-04-23 17:27:03,3.2,692.7857142857143
57,No,2,593,1,1,4,3,1,482,4,1,88,3,2,0,3,1,6755,2967,2,0,0,11,3,3,80,0,15,2,3,3,2,1,2,Master,Very High,High,High,Excellent,High,Better,599adb5b-95ff-48b8-943f-3519bd8f01cd,2025-04-23 17:27:03,2025-04-23 17:27:03,5.0,1688.75
40,No,2,1171,1,10,4,1,1,483,4,0,46,4,1,2,3,1,2213,22495,3,0,1,13,3,3,80,1,10,3,3,7,7,1,7,Master,Very High,Very High,High,Excellent,High,Better,c60184b1-6a0c-45af-87b6-e796ef382fe6,2025-04-23 17:27:03,2025-04-23 17:27:03,2.5,276.625
21,No,0,895,2,9,2,3,1,484,1,1,39,3,1,8,4,2,2610,2851,1,0,0,24,4,3,80,0,3,3,2,3,2,2,2,College,Low,High,Very High,Outstanding,High,Good,d5c13d5e-2c05-4065-8b45-c73ec6940b86,2025-04-23 17:27:03,2025-04-23 17:27:03,1.5,652.5
33,Yes,2,350,2,5,3,2,1,485,4,0,34,3,1,8,3,2,2851,9150,1,0,1,13,3,2,80,0,1,2,3,1,0,0,0,Bachelor,Very High,High,High,Excellent,Medium,Better,977841ba-96b3-4735-88c5-c920da7ec792,2025-04-23 17:27:03,2025-04-23 17:27:03,0.5,1425.5
37,No,2,921,1,10,3,3,1,486,3,0,98,3,1,2,1,1,3452,17663,6,0,0,20,4,2,80,1,17,3,3,5,4,0,3,Bachelor,High,High,Low,Outstanding,Medium,Better,c4b3d92c-1031-40a1-b8c4-21087a4ecca6,2025-04-23 17:27:03,2025-04-23 17:27:03,2.4285714285714284,575.3333333333334
46,No,0,1144,1,7,4,3,1,487,3,0,30,3,2,4,3,1,5258,16044,2,0,0,14,3,3,80,0,7,2,4,1,0,0,0,Master,High,High,High,Excellent,High,Best,5409089a-4043-4d9b-8b91-0713ae4cbfac,2025-04-23 17:27:03,2025-04-23 17:27:03,2.3333333333333335,2629.0
41,Yes,1,143,2,4,3,2,1,488,1,1,56,3,2,7,2,2,9355,9558,1,0,0,18,3,3,80,0,8,5,3,8,7,7,7,Bachelor,Low,High,Medium,Excellent,High,Better,08421251-d91b-417f-919e-87a278fbb8be,2025-04-23 17:27:03,2025-04-23 17:27:03,4.0,1039.4444444444443
50,No,2,1046,1,10,3,5,1,491,4,1,100,2,3,0,4,2,10496,2755,6,0,0,15,3,4,80,0,20,2,3,4,3,1,3,Bachelor,Very High,Medium,Very High,Excellent,Very High,Better,a556b210-dd82-4650-8b06-45f2855adaed,2025-04-23 17:27:03,2025-04-23 17:27:03,2.857142857142857,2099.2
40,Yes,2,575,2,22,2,2,1,492,3,1,68,2,2,7,3,1,6380,6110,2,0,1,12,3,1,80,2,8,6,3,6,4,1,0,College,High,Medium,High,Excellent,Low,Better,57747702-6f58-4faf-a63c-5d06dcb4804e,2025-04-23 17:27:03,2025-04-23 17:27:03,2.6666666666666665,911.4285714285714
31,No,2,408,1,9,4,1,1,493,3,1,42,2,1,6,2,2,2657,7551,0,0,1,16,3,4,80,0,3,5,3,2,2,2,2,Master,High,Medium,Medium,Excellent,Very High,Better,e9c5625a-741c-4f6f-b3da-2a7bd8e6114e,2025-04-23 17:27:03,2025-04-23 17:27:03,3.0,885.6666666666666
21,Yes,2,156,2,12,3,1,1,494,3,0,90,4,1,8,2,2,2716,25422,1,0,0,15,3,4,80,0,1,0,3,1,0,0,0,Bachelor,High,Very High,Medium,Excellent,Very High,Better,34ec3af4-9fad-456f-8b79-db247504569f,2025-04-23 17:27:03,2025-04-23 17:27:03,0.5,1358.0
29,No,2,1283,1,23,3,1,1,495,4,1,54,3,1,6,4,2,2201,18168,9,0,0,16,3,4,80,0,6,4,3,3,2,1,2,Bachelor,Very High,High,Very High,Excellent,Very High,Better,bbbdac29-f927-47ca-91c4-ac6b2b0f4f7f,2025-04-23 17:27:03,2025-04-23 17:27:03,0.6,550.25
35,No,2,755,1,9,4,1,1,496,3,1,97,2,2,0,2,2,6540,19394,9,0,0,19,3,3,80,0,10,5,3,1,1,0,0,Master,High,Medium,Medium,Excellent,High,Better,5f6f12ec-11d8-4894-bb86-41413eb80db6,2025-04-23 17:27:03,2025-04-23 17:27:03,1.0,3270.0
27,No,2,1469,1,1,2,3,1,497,4,1,82,3,1,2,2,0,3816,17881,1,0,0,11,3,2,80,1,5,2,3,5,2,0,4,College,Very High,High,Medium,Excellent,Medium,Better,cd2ae5f1-6ec0-4e1c-ac3b-55755b8b48c4,2025-04-23 17:27:03,2025-04-23 17:27:03,2.5,636.0
28,No,2,304,2,9,4,1,1,498,2,1,92,3,2,7,4,2,5253,20750,1,0,0,16,3,4,80,0,7,1,3,7,5,0,7,Master,Medium,High,Very High,Excellent,Very High,Better,cc9ca6d4-86d9-45dc-a94a-8a8b55fc90aa,2025-04-23 17:27:03,2025-04-23 17:27:03,3.5,656.625
49,No,2,1261,1,7,3,4,1,499,2,1,31,2,3,0,3,2,10965,12066,8,0,0,24,4,3,80,0,26,2,3,5,2,0,0,Bachelor,Medium,Medium,High,Outstanding,High,Better,9d7541df-1def-4d78-bf18-179806387e24,2025-04-23 17:27:03,2025-04-23 17:27:03,2.888888888888889,1827.5
51,No,2,1178,2,14,2,1,1,500,3,0,87,3,2,7,4,1,4936,14862,4,0,0,11,3,3,80,1,18,2,2,7,7,0,7,College,High,High,Very High,Excellent,High,Good,4b9f6664-8ec9-4733-be27-24392253d70c,2025-04-23 17:27:03,2025-04-23 17:27:03,3.6,617.0
36,No,2,329,1,2,3,1,1,501,4,0,96,3,1,6,3,1,2543,11868,4,0,0,13,3,2,80,1,6,3,3,2,2,2,2,Bachelor,Very High,High,High,Excellent,Medium,Better,7c8e52b8-7806-4e9b-92dc-a382f7b77601,2025-04-23 17:27:03,2025-04-23 17:27:03,1.2,847.6666666666666
34,Yes,0,1362,2,19,3,2,1,502,1,1,67,4,2,7,4,2,5304,4652,8,0,1,13,3,2,80,0,9,3,2,5,2,0,4,Bachelor,Low,Very High,Very High,Excellent,Medium,Good,802dfbcf-2070-4431-a4c5-26d0e33426c7,2025-04-23 17:27:03,2025-04-23 17:27:03,1.0,884.0
55,No,2,1311,1,2,3,1,1,505,3,0,97,3,4,3,4,2,16659,23258,2,0,1,13,3,3,80,0,30,2,3,5,4,1,2,Bachelor,High,High,Very High,Excellent,High,Better,a642af40-e61c-42f6-89cf-e692b213d9dd,2025-04-23 17:27:03,2025-04-23 17:27:03,10.0,2776.5
24,No,2,1371,2,10,4,2,1,507,4,0,77,3,2,7,3,0,4260,5915,1,0,1,12,3,4,80,1,5,2,4,5,2,0,3,Master,Very High,High,High,Excellent,Very High,Best,c09f712f-a7a0-4e6b-9261-bc610ea268f6,2025-04-23 17:27:03,2025-04-23 17:27:03,2.5,710.0
